ASIN,ProductName,Brand,Category,Price,Discount,Stock,Rating,Condition,LaunchDate
AMZ-P100000,USB Hub 0P7TM,FlexNest ZTJ9L,Automotive 685G4,270.48,0.16,218,4.9,New,1-Sep-2024
AMZ-P100001,Running Shoes 15M0D,SoundCore 1AAMR,Automotive HJAB5,98.31,0.09,76,1.4,Used - Like New,19-Jun-2025
AMZ-P100002,Power Bank TKNPU,TechNova FM923,Automotive DZEI1,756.07,0.4,335,2.9,Refurbished,2-Jun-2022
AMZ-P100003,USB Hub TE6N9,SnapTech JNN8T,Appliances T385H,698.22,0.21,797,3.4,Refurbished,9-Nov-2024
AMZ-P100004,Desk Lamp YC1GF,FlexNest BAOTO,Groceries DRJTR,765.26,0.06,239,1.1,Used - Good,9-Feb-2022
AMZ-P100005,Wireless Earbuds XIWEY,FitGear 88CS5,Home & Kitchen F33FN,536.88,0.04,821,2.5,Used - Good,29-Apr-2024
AMZ-P100006,USB Hub C65VY,EcoVibe NZ6GT,Office Supplies 7X386,593.86,0.13,336,3.4,Refurbished,27-Mar-2021
AMZ-P100007,Wireless Earbuds O77E2,CorePulse Z8V9P,Tools & Home Improvement OBBE8,467.87,0.07,891,3.2,Used - Like New,6-Feb-2025
AMZ-P100008,Hair Dryer KH9P0,SoundCore FMCXC,Home & Kitchen MRIUZ,976.71,0.37,478,4.2,Used - Like New,16-Feb-2025
AMZ-P100009,LED Strip Light IL1F5,CorePulse D501K,Health LNPEE,240.43,0.04,711,2.9,New,20-Nov-2024
AMZ-P100010,Laptop Stand 1N7GN,TechNova MWCTA,Fitness V62AQ,644.95,0.27,928,1.9,New,28-Sep-2023
AMZ-P100011,Coffee Maker 12TXE,EcoVibe R96NV,Electronics PZYIF,784.79,0.08,963,3.7,Used - Good,24-Nov-2022
AMZ-P100012,Wireless Earbuds 7APLX,NaturaBlend 3EG8J,Toys & Games XUCSC,38.4,0.43,653,2.5,New,19-Jan-2024
AMZ-P100013,Smartwatch TZ5ED,HomeBliss 7A7AK,Pet Supplies OB43F,708.64,0.01,740,2.9,New,7-Apr-2025
AMZ-P100014,USB Hub XQUK7,FlexNest 3UI6X,Appliances X4JB8,537.07,0.11,948,3.3,Used - Good,22-Apr-2023
AMZ-P100015,Bluetooth Speaker O6F3J,WaveForm QF7P5,Garden ME6TI,561.49,0.36,769,3.8,Used - Like New,18-May-2025
AMZ-P100016,Bluetooth Speaker 5F9U9,SmartEase ORHWQ,Garden NNDES,937.09,0.22,982,2.7,Refurbished,4-Oct-2021
AMZ-P100017,Smartwatch 54BCD,TechNova 4CVHO,Baby Products FKFO3,26.35,0.17,197,4.6,Used - Good,1-Oct-2021
AMZ-P100018,Water Bottle 9M9E3,FitGear 61M8R,Pet Supplies WRI32,187.01,0.15,216,3,Refurbished,22-Oct-2022
AMZ-P100019,Hair Dryer UANGP,MoveMax QOBJ1,Books ALCWC,478.12,0.31,584,1.7,Refurbished,5-Aug-2024
AMZ-P100020,Portable Fan 82EFG,CorePulse 28XX7,Books D0MTC,524.53,0.2,983,2.4,Used - Like New,1-Dec-2021
AMZ-P100021,Coffee Maker DVU8C,GlowLux AYPD1,Electronics JQSA6,860.4,0.21,936,4.7,New,23-Nov-2021
AMZ-P100022,Hair Dryer 72IGH,CorePulse LF00D,Fashion 3JM8Z,954.4,0.03,457,2.2,Refurbished,31-Jan-2024
AMZ-P100023,Yoga Mat SQE1Y,EcoVibe 6EHSH,Beauty WYHW5,809.31,0.2,496,2.3,New,11-Oct-2021
AMZ-P100024,USB Hub LFK18,NaturaBlend YPQGZ,Outdoors 1ZX5B,156.38,0.04,437,1.4,Used - Good,21-Sep-2024
AMZ-P100025,Webcam I9BNS,LumaGlow HG1N7,Music 9MF2Y,948.41,0.12,332,5,Used - Good,19-Dec-2020
AMZ-P100026,USB Hub P32HO,UrbanEdge LJ0K5,Fashion Z1HE1,959.43,0.24,316,2.3,Used - Good,31-Aug-2020
AMZ-P100027,LED Strip Light 9I1MI,NaturaBlend IZJZO,Outdoors UTTZC,644.25,0.16,85,3.5,Used - Good,18-Dec-2023
AMZ-P100028,Laptop Stand 33EUK,UrbanEdge 8GETX,Health XO2BB,368.42,0.46,369,2.4,Refurbished,3-Dec-2021
AMZ-P100029,Bluetooth Speaker OIIPN,CorePulse 8BE0R,Electronics P5R1R,410.6,0.13,383,4.3,New,11-Oct-2021
AMZ-P100030,Desk Lamp TD5LU,PureLife MZPMR,Home & Kitchen A92VN,145.42,0.42,440,4.9,New,3-Nov-2021
AMZ-P100031,Smartwatch N4LBJ,SmartEase UV5PV,Beauty D3AA6,296.48,0.08,340,4.8,New,18-Mar-2021
AMZ-P100032,Running Shoes ZROH3,CorePulse 9K9HN,Groceries M05IC,236.05,0.38,31,2.7,Used - Like New,25-Nov-2023
AMZ-P100033,Phone Charger RFCP0,SnapTech U16K3,Fashion 42Q22,111.62,0.47,780,4.4,Used - Good,31-Oct-2022
AMZ-P100034,USB Hub NOG3M,SoundCore U6FOD,Personal Care 1TWM1,210.76,0.15,94,3.3,Used - Like New,25-Aug-2021
AMZ-P100035,Wireless Earbuds 3GAEL,PureLife 3A68O,Office Supplies 8BDMG,485.49,0.38,45,1.6,Refurbished,18-Apr-2025
AMZ-P100036,Camping Tent EKYSV,FitGear Q84HR,Home & Kitchen 0U8Q9,897.35,0.2,993,1.5,Refurbished,2-Jun-2023
AMZ-P100037,Power Bank 13WDS,UrbanEdge WXTMD,Health DUC3X,357.31,0.3,219,4.5,New,14-Dec-2024
AMZ-P100038,LED Strip Light 4KFV8,CorePulse SLSX0,Pet Supplies 83DE5,635.79,0.35,978,2.7,Refurbished,12-Jul-2022
